country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,Abruzzo,,2020-04-14,-83,-46,-80,-81,-66,30
IT,Italy,Abruzzo,,2020-04-15,-79,-35,-77,-77,-64,29
IT,Italy,Abruzzo,,2020-04-16,-78,-37,-74,-78,-63,29
IT,Italy,Abruzzo,,2020-04-17,-78,-33,-76,-79,-63,31
IT,Italy,Abruzzo,,2020-04-18,-83,-47,-82,-83,-58,26
IT,Italy,Abruzzo,,2020-04-19,-94,-92,-87,-89,-58,23
IT,Italy,Abruzzo,,2020-04-20,-78,-46,-81,-80,-61,28
IT,Italy,Abruzzo,,2020-04-21,-80,-49,-80,-80,-62,29
IT,Italy,Abruzzo,,2020-04-22,-80,-50,-82,-80,-62,29
IT,Italy,Abruzzo,,2020-04-23,-76,-41,-74,-77,-60,29
IT,Italy,Abruzzo,,2020-04-24,-73,-25,-72,-76,-59,28
IT,Italy,Abruzzo,,2020-04-25,-94,-94,-84,-88,-74,30
IT,Italy,Abruzzo,,2020-04-26,-93,-90,-84,-87,-55,23
IT,Italy,Abruzzo,,2020-04-27,-69,-31,-70,-73,-56,25
IT,Italy,Abruzzo,,2020-04-28,-73,-39,-69,-74,-57,24
IT,Italy,Abruzzo,,2020-04-29,-73,-37,-70,-73,-56,25
IT,Italy,Abruzzo,,2020-04-30,-68,-23,-67,-71,-55,24
IT,Italy,Abruzzo,,2020-05-01,-91,-93,-69,-88,-85,38
IT,Italy,Abruzzo,,2020-05-02,-76,-35,-74,-78,-53,24
IT,Italy,Abruzzo,,2020-05-03,-90,-90,-76,-83,-49,21
IT,Italy,Abruzzo,,2020-05-04,-55,-23,-29,-56,-45,17
IT,Italy,Abruzzo,,2020-05-05,-57,-27,-21,-54,-46,18
IT,Italy,Abruzzo,,2020-05-06,-61,-29,-47,-60,-46,19
IT,Italy,Abruzzo,,2020-05-07,-57,-27,-23,-54,-45,18
IT,Italy,Abruzzo,,2020-05-08,-58,-22,-25,-57,-44,20
IT,Italy,Abruzzo,,2020-05-09,-62,-24,-24,-55,-41,16
IT,Italy,Abruzzo,,2020-05-10,-77,-84,-37,-64,-30,14
IT,Italy,Abruzzo,,2020-05-11,-54,-25,-30,-56,-41,17
IT,Italy,Abruzzo,,2020-05-12,-54,-23,-20,-53,-41,17
IT,Italy,Abruzzo,,2020-05-13,-54,-23,-18,-54,-40,16
IT,Italy,Abruzzo,,2020-05-14,-54,-23,-17,-54,-40,16
IT,Italy,Abruzzo,,2020-05-15,-55,-20,-22,-56,-40,18
IT,Italy,Abruzzo,,2020-05-16,-59,-21,-22,-56,-35,15
IT,Italy,Abruzzo,,2020-05-17,-75,-84,-25,-63,-25,13
IT,Italy,Abruzzo,,2020-05-18,-35,-14,-8,-46,-33,12
IT,Italy,Abruzzo,,2020-05-19,-38,-15,-7,-45,-35,13
IT,Italy,Abruzzo,,2020-05-20,-40,-16,-25,-50,-35,14
IT,Italy,Abruzzo,,2020-05-21,-36,-14,-3,-42,-34,13
IT,Italy,Abruzzo,,2020-05-22,-36,-13,9,-45,-33,13
IT,Italy,Abruzzo,,2020-05-23,-37,-13,29,-36,-25,8
IT,Italy,Abruzzo,,2020-05-24,-48,-49,17,-44,-11,7
IT,Italy,Abruzzo,,2020-05-25,-30,-15,16,-43,-32,10
IT,Italy,Abruzzo,,2020-05-26,-31,-12,15,-40,-32,11
IT,Italy,Abruzzo,,2020-05-27,-32,-12,-1,-43,-31,11
IT,Italy,Abruzzo,,2020-05-28,-31,-11,9,-41,-31,11
IT,Italy,Abruzzo,,2020-05-29,-39,-12,-34,-49,-33,14
IT,Italy,Aosta,,2020-02-15,8,5,27,12,2,-1
IT,Italy,Aosta,,2020-02-16,9,6,14,14,1,0
IT,Italy,Aosta,,2020-02-17,11,8,14,5,1,0
IT,Italy,Aosta,,2020-02-18,12,7,25,9,3,-1
IT,Italy,Aosta,,2020-02-19,5,7,10,3,2,0
IT,Italy,Aosta,,2020-02-20,11,4,31,8,0,-1
IT,Italy,Aosta,,2020-02-21,11,9,29,16,0,-1
IT,Italy,Aosta,,2020-02-22,9,10,33,24,2,-1
IT,Italy,Aosta,,2020-02-23,18,30,43,36,2,-3
IT,Italy,Aosta,,2020-02-24,34,39,62,19,-18,3
IT,Italy,Aosta,,2020-02-25,23,23,80,27,-18,2
IT,Italy,Aosta,,2020-02-26,0,9,7,-2,-17,6
IT,Italy,Aosta,,2020-02-27,2,3,2,-1,-14,7
IT,Italy,Aosta,,2020-02-28,21,18,36,9,-13,4
IT,Italy,Aosta,,2020-02-29,-1,7,7,3,-1,2
IT,Italy,Aosta,,2020-03-01,-1,11,6,-2,-2,2
IT,Italy,Aosta,,2020-03-02,-8,2,-21,-10,-1,3
IT,Italy,Aosta,,2020-03-03,0,4,5,-1,0,0
IT,Italy,Aosta,,2020-03-04,3,4,7,-2,-1,1
IT,Italy,Aosta,,2020-03-05,-21,-3,-31,-18,-15,9
IT,Italy,Aosta,,2020-03-06,-4,9,5,-9,-14,6
IT,Italy,Aosta,,2020-03-07,-6,7,2,-7,-6,5
IT,Italy,Aosta,,2020-03-08,-26,13,-24,-23,-5,5
IT,Italy,Aosta,,2020-03-09,-29,4,-23,-32,-21,10
IT,Italy,Aosta,,2020-03-10,-51,-3,-40,-51,-28,15
IT,Italy,Aosta,,2020-03-11,-58,-24,-39,-51,-35,17
IT,Italy,Aosta,,2020-03-12,-74,-27,-54,-58,-44,23
IT,Italy,Aosta,,2020-03-13,-79,-33,-60,-66,-51,27
IT,Italy,Aosta,,2020-03-14,-88,-54,-76,-74,-58,
IT,Italy,Aosta,,2020-03-15,-93,-68,-84,-82,-59,
IT,Italy,Aosta,,2020-03-16,-80,-37,-60,-70,-57,27
IT,Italy,Aosta,,2020-03-17,-81,-43,-55,-68,-60,27
IT,Italy,Aosta,,2020-03-18,-83,-47,-61,-71,-61,28
IT,Italy,Aosta,,2020-03-19,-83,-47,-61,-72,-63,30
IT,Italy,Aosta,,2020-03-20,-86,-45,-75,-76,-64,33
IT,Italy,Aosta,,2020-03-21,-91,-59,-86,-82,-63,
IT,Italy,Aosta,,2020-03-22,-95,-87,-90,-88,-67,
IT,Italy,Aosta,,2020-03-23,-86,-47,-76,-79,-67,31
IT,Italy,Aosta,,2020-03-24,-87,-50,-76,-78,-68,32
IT,Italy,Aosta,,2020-03-25,-87,-54,-77,-79,-69,33
IT,Italy,Aosta,,2020-03-26,-88,-53,-78,-80,-71,35
IT,Italy,Aosta,,2020-03-27,-88,-51,-80,-81,-69,36
IT,Italy,Aosta,,2020-03-28,-92,-62,-86,-83,-65,
IT,Italy,Aosta,,2020-03-29,-95,-88,-91,-86,-67,
IT,Italy,Aosta,,2020-03-30,-87,-49,-75,-78,-68,31
IT,Italy,Aosta,,2020-03-31,-95,-48,-74,-78,-68,32
IT,Italy,Aosta,,2020-04-01,-95,-46,-76,-76,-67,32
IT,Italy,Aosta,,2020-04-02,-95,-45,-75,-75,-68,33
IT,Italy,Aosta,,2020-04-03,-90,-45,-75,-77,-68,34
IT,Italy,Aosta,,2020-04-04,-93,-57,-85,-82,-63,
IT,Italy,Aosta,,2020-04-05,-96,-87,-89,-86,-64,
IT,Italy,Aosta,,2020-04-06,-87,-42,-75,-77,-65,30
IT,Italy,Aosta,,2020-04-07,-88,-42,-73,-75,-66,31
IT,Italy,Aosta,,2020-04-08,-88,-44,-74,-72,-64,30
IT,Italy,Aosta,,2020-04-09,-87,-39,-76,-74,-66,32
IT,Italy,Aosta,,2020-04-10,-88,-37,-76,-74,-66,34
IT,Italy,Aosta,,2020-04-11,-91,-49,-86,-81,-61,
IT,Italy,Aosta,,2020-04-12,-96,-92,-91,-86,-65,
IT,Italy,Aosta,,2020-04-13,-95,-84,-82,-86,-85,
IT,Italy,Aosta,,2020-04-14,-86,-42,-73,-72,-62,29
IT,Italy,Aosta,,2020-04-15,-86,-41,-74,-71,-62,29
IT,Italy,Aosta,,2020-04-16,-86,-41,-74,-72,-61,30
IT,Italy,Aosta,,2020-04-17,-86,-40,-74,-73,-61,32
IT,Italy,Aosta,,2020-04-18,-91,-56,-85,-80,-58,
IT,Italy,Aosta,,2020-04-19,-95,-86,-90,-87,-63,
IT,Italy,Aosta,,2020-04-20,-84,-47,-76,-72,-60,28
IT,Italy,Aosta,,2020-04-21,-86,-48,-74,-74,-60,30
IT,Italy,Aosta,,2020-04-22,-85,-47,-71,-67,-58,27
IT,Italy,Aosta,,2020-04-23,-85,-44,-68,-69,-60,29
IT,Italy,Aosta,,2020-04-24,-84,-42,-72,-69,-59,30
IT,Italy,Aosta,,2020-04-25,-93,-66,-84,-81,-62,
IT,Italy,Aosta,,2020-04-26,-95,-83,-88,-84,-59,
IT,Italy,Aosta,,2020-04-27,-81,-41,-70,-66,-57,26
IT,Italy,Aosta,,2020-04-28,-84,-44,-72,-71,-58,26
IT,Italy,Aosta,,2020-04-29,-83,-43,-67,-63,-56,26
IT,Italy,Aosta,,2020-04-30,-82,-36,-71,-70,-58,28
IT,Italy,Aosta,,2020-05-01,-93,-75,-81,-84,-81,
IT,Italy,Aosta,,2020-05-02,-89,-51,-84,-79,-55,
IT,Italy,Aosta,,2020-05-03,-94,-81,-85,-82,-55,
IT,Italy,Aosta,,2020-05-04,-69,-28,-45,-50,-48,18
IT,Italy,Aosta,,2020-05-05,-71,-29,-47,-51,-49,20
IT,Italy,Aosta,,2020-05-06,-72,-31,-45,-50,-48,19
IT,Italy,Aosta,,2020-05-07,-70,-32,-45,-52,-49,20
IT,Italy,Aosta,,2020-05-08,-73,-30,-51,-55,-49,21
IT,Italy,Aosta,,2020-05-09,-80,-41,-63,-59,-45,15
IT,Italy,Aosta,,2020-05-10,-87,-67,-78,-70,-43,
IT,Italy,Aosta,,2020-05-11,-70,-30,-58,-56,-47,20
IT,Italy,Aosta,,2020-05-12,-68,-30,-40,-48,-45,18
IT,Italy,Aosta,,2020-05-13,-73,-35,-64,-58,-47,21
IT,Italy,Aosta,,2020-05-14,-69,-31,-47,-48,-45,18
IT,Italy,Aosta,,2020-05-15,-72,-31,-56,-58,-46,21
IT,Italy,Aosta,,2020-05-16,-79,-41,-69,-61,-41,16
IT,Italy,Aosta,,2020-05-17,-82,-57,-63,-63,-36,
IT,Italy,Aosta,,2020-05-18,-54,-20,-31,-45,-40,14
IT,Italy,Aosta,,2020-05-19,-55,-21,-20,-38,-39,13
IT,Italy,Aosta,,2020-05-20,-55,-20,-26,-38,-39,13
IT,Italy,Aosta,,2020-05-21,-54,-21,-29,-38,-39,14
IT,Italy,Aosta,,2020-05-22,-57,-21,-32,-44,-38,14
IT,Italy,Aosta,,2020-05-23,-68,-31,-57,-55,-31,11
IT,Italy,Aosta,,2020-05-24,-69,-43,-38,-52,-29,
IT,Italy,Aosta,,2020-05-25,-49,-20,-21,-37,-37,12
IT,Italy,Aosta,,2020-05-26,-50,-20,-18,-36,-36,12
IT,Italy,Aosta,,2020-05-27,-51,-20,-26,-38,-35,12
IT,Italy,Aosta,,2020-05-28,-51,-20,-24,-37,-37,12
IT,Italy,Aosta,,2020-05-29,-55,-19,-34,-42,-38,13
IT,Italy,Apulia,,2020-02-15,-1,1,4,2,-1,0
IT,Italy,Apulia,,2020-02-16,3,0,73,12,-1,-1
IT,Italy,Apulia,,2020-02-17,-1,0,13,4,1,-1
IT,Italy,Apulia,,2020-02-18,0,-1,15,5,1,0
IT,Italy,Apulia,,2020-02-19,-3,-2,4,3,1,0
IT,Italy,Apulia,,2020-02-20,-3,-1,-7,2,-1,1
IT,Italy,Apulia,,2020-02-21,-1,1,5,5,0,0
IT,Italy,Apulia,,2020-02-22,-6,2,-3,4,-2,1
IT,Italy,Apulia,,2020-02-23,1,7,76,26,0,-1
IT,Italy,Apulia,,2020-02-24,2,14,28,-1,-15,2
IT,Italy,Apulia,,2020-02-25,2,4,28,-2,-15,2
IT,Italy,Apulia,,2020-02-26,-7,0,0,-10,-5,2
IT,Italy,Apulia,,2020-02-27,-8,2,-16,-13,-4,3
IT,Italy,Apulia,,2020-02-28,-9,-1,-18,-16,-3,3
IT,Italy,Apulia,,2020-02-29,-4,2,4,-10,-2,2
IT,Italy,Apulia,,2020-03-01,-5,1,23,-11,-3,2
IT,Italy,Apulia,,2020-03-02,-3,3,4,-9,0,1
IT,Italy,Apulia,,2020-03-03,-4,0,-4,-10,-1,2
IT,Italy,Apulia,,2020-03-04,-3,5,7,-11,0,1
IT,Italy,Apulia,,2020-03-05,-5,6,4,-21,-16,5
IT,Italy,Apulia,,2020-03-06,-13,2,-14,-29,-17,7
IT,Italy,Apulia,,2020-03-07,-22,4,-28,-34,-18,8
IT,Italy,Apulia,,2020-03-08,-32,3,-15,-36,-11,8
IT,Italy,Apulia,,2020-03-09,-24,4,-12,-39,-23,9
IT,Italy,Apulia,,2020-03-10,-41,1,-38,-50,-31,14
IT,Italy,Apulia,,2020-03-11,-50,-15,-39,-58,-36,16
IT,Italy,Apulia,,2020-03-12,-66,-26,-59,-67,-47,21
IT,Italy,Apulia,,2020-03-13,-70,-31,-63,-72,-52,24
IT,Italy,Apulia,,2020-03-14,-78,-38,-75,-76,-56,24
IT,Italy,Apulia,,2020-03-15,-90,-62,-82,-82,-58,23
IT,Italy,Apulia,,2020-03-16,-72,-38,-68,-78,-56,24
IT,Italy,Apulia,,2020-03-17,-75,-44,-69,-78,-59,26
IT,Italy,Apulia,,2020-03-18,-75,-44,-72,-79,-60,26
IT,Italy,Apulia,,2020-03-19,-76,-46,-74,-80,-61,27
IT,Italy,Apulia,,2020-03-20,-76,-42,-76,-80,-61,28
IT,Italy,Apulia,,2020-03-21,-81,-47,-84,-82,-61,27
IT,Italy,Apulia,,2020-03-22,-94,-87,-89,-87,-65,25
IT,Italy,Apulia,,2020-03-23,-77,-46,-80,-83,-65,28
IT,Italy,Apulia,,2020-03-24,-79,-50,-81,-82,-67,29
IT,Italy,Apulia,,2020-03-25,-80,-52,-83,-83,-67,30
IT,Italy,Apulia,,2020-03-26,-82,-55,-85,-84,-69,31
IT,Italy,Apulia,,2020-03-27,-78,-44,-81,-83,-67,31
IT,Italy,Apulia,,2020-03-28,-82,-48,-85,-84,-64,28
IT,Italy,Apulia,,2020-03-29,-94,-85,-88,-88,-64,25
IT,Italy,Apulia,,2020-03-30,-78,-47,-75,-82,-65,27
IT,Italy,Apulia,,2020-03-31,-90,-44,-75,-80,-66,28
IT,Italy,Apulia,,2020-04-01,-90,-45,-78,-81,-67,29
IT,Italy,Apulia,,2020-04-02,-89,-41,-76,-80,-66,29
IT,Italy,Apulia,,2020-04-03,-82,-38,-78,-82,-65,30
IT,Italy,Apulia,,2020-04-04,-85,-43,-83,-82,-62,27
IT,Italy,Apulia,,2020-04-05,-94,-81,-88,-88,-63,25
IT,Italy,Apulia,,2020-04-06,-81,-43,-74,-81,-63,27
IT,Italy,Apulia,,2020-04-07,-79,-40,-73,-80,-64,27
IT,Italy,Apulia,,2020-04-08,-79,-38,-74,-80,-64,27
IT,Italy,Apulia,,2020-04-09,-78,-34,-75,-80,-64,27
IT,Italy,Apulia,,2020-04-10,-77,-28,-74,-81,-64,28
IT,Italy,Apulia,,2020-04-11,-82,-40,-81,-81,-61,26
IT,Italy,Apulia,,2020-04-12,-96,-92,-89,-90,-68,26
IT,Italy,Apulia,,2020-04-13,-95,-95,-87,-93,-88,36
IT,Italy,Apulia,,2020-04-14,-80,-44,-76,-80,-63,27
IT,Italy,Apulia,,2020-04-15,-78,-40,-74,-79,-62,27
IT,Italy,Apulia,,2020-04-16,-77,-39,-74,-79,-61,27
IT,Italy,Apulia,,2020-04-17,-76,-35,-72,-80,-60,27
IT,Italy,Apulia,,2020-04-18,-81,-43,-79,-80,-57,25
IT,Italy,Apulia,,2020-04-19,-93,-81,-85,-87,-58,23
IT,Italy,Apulia,,2020-04-20,-76,-47,-75,-80,-59,26
IT,Italy,Apulia,,2020-04-21,-76,-44,-74,-78,-60,26
IT,Italy,Apulia,,2020-04-22,-79,-49,-79,-81,-60,27
IT,Italy,Apulia,,2020-04-23,-76,-40,-77,-79,-60,27
